"DATE_NAME","GEOGRAPHY_NAME","VARIABLE_NAME","OBS_VALUE"
"Oct 2005-Sep 2006","West Midlands","Unemployment rate - aged 16+",5.6
"Oct 2005-Sep 2006","East","Economic activity rate - aged 16-64",79.3
"Oct 2005-Sep 2006","East","Employment rate - aged 16-64",75.6
"Oct 2005-Sep 2006","East","Unemployment rate - aged 16+",4.6
"Oct 2005-Sep 2006","London","Economic activity rate - aged 16-64",73.3
"Oct 2005-Sep 2006","London","Employment rate - aged 16-64",67.4
"Oct 2005-Sep 2006","London","Unemployment rate - aged 16+",8.0
"Oct 2005-Sep 2006","South East","Economic activity rate - aged 16-64",80.5
"Oct 2005-Sep 2006","South East","Employment rate - aged 16-64",77.0
"Oct 2005-Sep 2006","South East","Unemployment rate - aged 16+",4.4
"Oct 2005-Sep 2006","South West","Economic activity rate - aged 16-64",78.5
"Oct 2005-Sep 2006","South West","Employment rate - aged 16-64",75.5
"Oct 2005-Sep 2006","South West","Unemployment rate - aged 16+",3.8
"Oct 2005-Sep 2006","Wales","Economic activity rate - aged 16-64",73.1
"Oct 2005-Sep 2006","Wales","Employment rate - aged 16-64",69.2
"Oct 2005-Sep 2006","Wales","Unemployment rate - aged 16+",5.3
"Oct 2005-Sep 2006","Scotland","Economic activity rate - aged 16-64",77.2
"Oct 2005-Sep 2006","Scotland","Employment rate - aged 16-64",73.1
"Oct 2005-Sep 2006","Scotland","Unemployment rate - aged 16+",5.2
"Jan 2006-Dec 2006","North East","Economic activity rate - aged 16-64",74.0
"Jan 2006-Dec 2006","North East","Employment rate - aged 16-64",68.9
"Jan 2006-Dec 2006","North East","Unemployment rate - aged 16+",6.9
"Jan 2006-Dec 2006","North West","Economic activity rate - aged 16-64",74.6
"Jan 2006-Dec 2006","North West","Employment rate - aged 16-64",70.6
"Jan 2006-Dec 2006","North West","Unemployment rate - aged 16+",5.3
"Jan 2006-Dec 2006","Yorkshire and The Humber","Economic activity rate - aged 16-64",76.1
"Jan 2006-Dec 2006","Yorkshire and The Humber","Employment rate - aged 16-64",71.9
"Jan 2006-Dec 2006","Yorkshire and The Humber","Unemployment rate - aged 16+",5.5
"Jan 2006-Dec 2006","East Midlands","Economic activity rate - aged 16-64",78.4
"Jan 2006-Dec 2006","East Midlands","Employment rate - aged 16-64",74.3
"Jan 2006-Dec 2006","East Midlands","Unemployment rate - aged 16+",5.2
"Jan 2006-Dec 2006","West Midlands","Economic activity rate - aged 16-64",75.5
"Jan 2006-Dec 2006","West Midlands","Employment rate - aged 16-64",71.3
"Jan 2006-Dec 2006","West Midlands","Unemployment rate - aged 16+",5.5
"Jan 2006-Dec 2006","East","Economic activity rate - aged 16-64",78.9
"Jan 2006-Dec 2006","East","Employment rate - aged 16-64",75.3
"Jan 2006-Dec 2006","East","Unemployment rate - aged 16+",4.6
"Jan 2006-Dec 2006","London","Economic activity rate - aged 16-64",73.8
"Jan 2006-Dec 2006","London","Employment rate - aged 16-64",68.1
"Jan 2006-Dec 2006","London","Unemployment rate - aged 16+",7.7
"Jan 2006-Dec 2006","South East","Economic activity rate - aged 16-64",80.4
"Jan 2006-Dec 2006","South East","Employment rate - aged 16-64",76.8
"Jan 2006-Dec 2006","South East","Unemployment rate - aged 16+",4.5
"Jan 2006-Dec 2006","South West","Economic activity rate - aged 16-64",78.8
"Jan 2006-Dec 2006","South West","Employment rate - aged 16-64",75.9
"Jan 2006-Dec 2006","South West","Unemployment rate - aged 16+",3.7
"Jan 2006-Dec 2006","Wales","Economic activity rate - aged 16-64",73.1
"Jan 2006-Dec 2006","Wales","Employment rate - aged 16-64",69.2
"Jan 2006-Dec 2006","Wales","Unemployment rate - aged 16+",5.2
"Jan 2006-Dec 2006","Scotland","Economic activity rate - aged 16-64",77.8
"Jan 2006-Dec 2006","Scotland","Employment rate - aged 16-64",73.7
"Jan 2006-Dec 2006","Scotland","Unemployment rate - aged 16+",5.2
"Apr 2006-Mar 2007","North East","Economic activity rate - aged 16-64",74.2
"Apr 2006-Mar 2007","North East","Employment rate - aged 16-64",69.3
"Apr 2006-Mar 2007","North East","Unemployment rate - aged 16+",6.6
"Apr 2006-Mar 2007","North West","Economic activity rate - aged 16-64",74.7
"Apr 2006-Mar 2007","North West","Employment rate - aged 16-64",70.5
"Apr 2006-Mar 2007","North West","Unemployment rate - aged 16+",5.4
"Apr 2006-Mar 2007","Yorkshire and The Humber","Economic activity rate - aged 16-64",76.0
"Apr 2006-Mar 2007","Yorkshire and The Humber","Employment rate - aged 16-64",71.8
"Apr 2006-Mar 2007","Yorkshire and The Humber","Unemployment rate - aged 16+",5.5
"Apr 2006-Mar 2007","East Midlands","Economic activity rate - aged 16-64",78.3
"Apr 2006-Mar 2007","East Midlands","Employment rate - aged 16-64",74.3
"Apr 2006-Mar 2007","East Midlands","Unemployment rate - aged 16+",5.1
"Apr 2006-Mar 2007","West Midlands","Economic activity rate - aged 16-64",75.6
"Apr 2006-Mar 2007","West Midlands","Employment rate - aged 16-64",71.4
"Apr 2006-Mar 2007","West Midlands","Unemployment rate - aged 16+",5.5
"Apr 2006-Mar 2007","East","Economic activity rate - aged 16-64",78.7
"Apr 2006-Mar 2007","East","Employment rate - aged 16-64",75.1
"Apr 2006-Mar 2007","East","Unemployment rate - aged 16+",4.5
"Apr 2006-Mar 2007","London","Economic activity rate - aged 16-64",74.0
"Apr 2006-Mar 2007","London","Employment rate - aged 16-64",68.3
"Apr 2006-Mar 2007","London","Unemployment rate - aged 16+",7.5
"Apr 2006-Mar 2007","South East","Economic activity rate - aged 16-64",80.4
"Apr 2006-Mar 2007","South East","Employment rate - aged 16-64",76.8
"Apr 2006-Mar 2007","South East","Unemployment rate - aged 16+",4.4
"Apr 2006-Mar 2007","South West","Economic activity rate - aged 16-64",78.8
"Apr 2006-Mar 2007","South West","Employment rate - aged 16-64",75.8
"Apr 2006-Mar 2007","South West","Unemployment rate - aged 16+",3.8
"Apr 2006-Mar 2007","Wales","Economic activity rate - aged 16-64",73.1
"Apr 2006-Mar 2007","Wales","Employment rate - aged 16-64",69.1
"Apr 2006-Mar 2007","Wales","Unemployment rate - aged 16+",5.3
"Apr 2006-Mar 2007","Scotland","Economic activity rate - aged 16-64",77.9
"Apr 2006-Mar 2007","Scotland","Employment rate - aged 16-64",73.8
"Apr 2006-Mar 2007","Scotland","Unemployment rate - aged 16+",5.2
"Jul 2006-Jun 2007","North East","Economic activity rate - aged 16-64",74.5
"Jul 2006-Jun 2007","North East","Employment rate - aged 16-64",69.5
"Jul 2006-Jun 2007","North East","Unemployment rate - aged 16+",6.7
"Jul 2006-Jun 2007","North West","Economic activity rate - aged 16-64",74.9
"Jul 2006-Jun 2007","North West","Employment rate - aged 16-64",70.6
"Jul 2006-Jun 2007","North West","Unemployment rate - aged 16+",5.6
"Jul 2006-Jun 2007","Yorkshire and The Humber","Economic activity rate - aged 16-64",75.6
"Jul 2006-Jun 2007","Yorkshire and The Humber","Employment rate - aged 16-64",71.4
"Jul 2006-Jun 2007","Yorkshire and The Humber","Unemployment rate - aged 16+",5.5
"Jul 2006-Jun 2007","East Midlands","Economic activity rate - aged 16-64",78.1
"Jul 2006-Jun 2007","East Midlands","Employment rate - aged 16-64",74.3
"Jul 2006-Jun 2007","East Midlands","Unemployment rate - aged 16+",4.9
"Jul 2006-Jun 2007","West Midlands","Economic activity rate - aged 16-64",75.5
"Jul 2006-Jun 2007","West Midlands","Employment rate - aged 16-64",71.1
"Jul 2006-Jun 2007","West Midlands","Unemployment rate - aged 16+",5.7
"Jul 2006-Jun 2007","East","Economic activity rate - aged 16-64",78.6
"Jul 2006-Jun 2007","East","Employment rate - aged 16-64",75.2
"Jul 2006-Jun 2007","East","Unemployment rate - aged 16+",4.3
"Jul 2006-Jun 2007","London","Economic activity rate - aged 16-64",74.1
"Jul 2006-Jun 2007","London","Employment rate - aged 16-64",68.5
"Jul 2006-Jun 2007","London","Unemployment rate - aged 16+",7.5
"Jul 2006-Jun 2007","South East","Economic activity rate - aged 16-64",80.3
"Jul 2006-Jun 2007","South East","Employment rate - aged 16-64",76.9
"Jul 2006-Jun 2007","South East","Unemployment rate - aged 16+",4.2
"Jul 2006-Jun 2007","South West","Economic activity rate - aged 16-64",79.2
"Jul 2006-Jun 2007","South West","Employment rate - aged 16-64",76.2
"Jul 2006-Jun 2007","South West","Unemployment rate - aged 16+",3.7
"Jul 2006-Jun 2007","Wales","Economic activity rate - aged 16-64",73.2
"Jul 2006-Jun 2007","Wales","Employment rate - aged 16-64",69.2
"Jul 2006-Jun 2007","Wales","Unemployment rate - aged 16+",5.4
"Jul 2006-Jun 2007","Scotland","Economic activity rate - aged 16-64",77.9
"Jul 2006-Jun 2007","Scotland","Employment rate - aged 16-64",74.0
"Jul 2006-Jun 2007","Scotland","Unemployment rate - aged 16+",4.9
"Oct 2006-Sep 2007","North East","Economic activity rate - aged 16-64",74.3
"Oct 2006-Sep 2007","North East","Employment rate - aged 16-64",69.6
"Oct 2006-Sep 2007","North East","Unemployment rate - aged 16+",6.4
"Oct 2006-Sep 2007","North West","Economic activity rate - aged 16-64",74.5
"Oct 2006-Sep 2007","North West","Employment rate - aged 16-64",70.2
"Oct 2006-Sep 2007","North West","Unemployment rate - aged 16+",5.7
"Oct 2006-Sep 2007","Yorkshire and The Humber","Economic activity rate - aged 16-64",75.6
"Oct 2006-Sep 2007","Yorkshire and The Humber","Employment rate - aged 16-64",71.5
"Oct 2006-Sep 2007","Yorkshire and The Humber","Unemployment rate - aged 16+",5.5
"Oct 2006-Sep 2007","East Midlands","Economic activity rate - aged 16-64",78.3
"Oct 2006-Sep 2007","East Midlands","Employment rate - aged 16-64",74.4
"Oct 2006-Sep 2007","East Midlands","Unemployment rate - aged 16+",5.0
"Oct 2006-Sep 2007","West Midlands","Economic activity rate - aged 16-64",75.2
"Oct 2006-Sep 2007","West Midlands","Employment rate - aged 16-64",70.8
"Oct 2006-Sep 2007","West Midlands","Unemployment rate - aged 16+",5.7
"Oct 2006-Sep 2007","East","Economic activity rate - aged 16-64",78.2
"Oct 2006-Sep 2007","East","Employment rate - aged 16-64",74.8
"Oct 2006-Sep 2007","East","Unemployment rate - aged 16+",4.3
"Oct 2006-Sep 2007","London","Economic activity rate - aged 16-64",73.9
"Oct 2006-Sep 2007","London","Employment rate - aged 16-64",68.6
"Oct 2006-Sep 2007","London","Unemployment rate - aged 16+",7.0
"Oct 2006-Sep 2007","South East","Economic activity rate - aged 16-64",80.2
"Oct 2006-Sep 2007","South East","Employment rate - aged 16-64",76.8
"Oct 2006-Sep 2007","South East","Unemployment rate - aged 16+",4.1
"Oct 2006-Sep 2007","South West","Economic activity rate - aged 16-64",79.5
"Oct 2006-Sep 2007","South West","Employment rate - aged 16-64",76.5
"Oct 2006-Sep 2007","South West","Unemployment rate - aged 16+",3.7
"Oct 2006-Sep 2007","Wales","Economic activity rate - aged 16-64",73.0
"Oct 2006-Sep 2007","Wales","Employment rate - aged 16-64",69.0
"Oct 2006-Sep 2007","Wales","Unemployment rate - aged 16+",5.3
"Oct 2006-Sep 2007","Scotland","Economic activity rate - aged 16-64",78.0
"Oct 2006-Sep 2007","Scotland","Employment rate - aged 16-64",74.1
"Oct 2006-Sep 2007","Scotland","Unemployment rate - aged 16+",5.0
"Jan 2007-Dec 2007","North East","Economic activity rate - aged 16-64",74.1
"Jan 2007-Dec 2007","North East","Employment rate - aged 16-64",69.6
"Jan 2007-Dec 2007","North East","Unemployment rate - aged 16+",6.1
"Jan 2007-Dec 2007","North West","Economic activity rate - aged 16-64",74.7
"Jan 2007-Dec 2007","North West","Employment rate - aged 16-64",70.5
"Jan 2007-Dec 2007","North West","Unemployment rate - aged 16+",5.6
"Jan 2007-Dec 2007","Yorkshire and The Humber","Economic activity rate - aged 16-64",75.5
"Jan 2007-Dec 2007","Yorkshire and The Humber","Employment rate - aged 16-64",71.3
"Jan 2007-Dec 2007","Yorkshire and The Humber","Unemployment rate - aged 16+",5.4
"Jan 2007-Dec 2007","East Midlands","Economic activity rate - aged 16-64",77.7
"Jan 2007-Dec 2007","East Midlands","Employment rate - aged 16-64",73.7
"Jan 2007-Dec 2007","East Midlands","Unemployment rate - aged 16+",5.0
"Jan 2007-Dec 2007","West Midlands","Economic activity rate - aged 16-64",75.2
"Jan 2007-Dec 2007","West Midlands","Employment rate - aged 16-64",70.7
"Jan 2007-Dec 2007","West Midlands","Unemployment rate - aged 16+",5.9
"Jan 2007-Dec 2007","East","Economic activity rate - aged 16-64",78.7
"Jan 2007-Dec 2007","East","Employment rate - aged 16-64",75.3
"Jan 2007-Dec 2007","East","Unemployment rate - aged 16+",4.3
"Jan 2007-Dec 2007","London","Economic activity rate - aged 16-64",73.7
"Jan 2007-Dec 2007","London","Employment rate - aged 16-64",68.6
"Jan 2007-Dec 2007","London","Unemployment rate - aged 16+",6.9
"Jan 2007-Dec 2007","South East","Economic activity rate - aged 16-64",80.1
"Jan 2007-Dec 2007","South East","Employment rate - aged 16-64",76.7
"Jan 2007-Dec 2007","South East","Unemployment rate - aged 16+",4.2
"Jan 2007-Dec 2007","South West","Economic activity rate - aged 16-64",79.2
"Jan 2007-Dec 2007","South West","Employment rate - aged 16-64",76.1
"Jan 2007-Dec 2007","South West","Unemployment rate - aged 16+",3.9
"Jan 2007-Dec 2007","Wales","Economic activity rate - aged 16-64",73.3
"Jan 2007-Dec 2007","Wales","Employment rate - aged 16-64",69.2
"Jan 2007-Dec 2007","Wales","Unemployment rate - aged 16+",5.5
"Jan 2007-Dec 2007","Scotland","Economic activity rate - aged 16-64",77.6
"Jan 2007-Dec 2007","Scotland","Employment rate - aged 16-64",73.9
"Jan 2007-Dec 2007","Scotland","Unemployment rate - aged 16+",4.7
"Apr 2007-Mar 2008","North East","Economic activity rate - aged 16-64",74.1
"Apr 2007-Mar 2008","North East","Employment rate - aged 16-64",69.3
"Apr 2007-Mar 2008","North East","Unemployment rate - aged 16+",6.4
"Apr 2007-Mar 2008","North West","Economic activity rate - aged 16-64",74.7
"Apr 2007-Mar 2008","North West","Employment rate - aged 16-64",70.3
"Apr 2007-Mar 2008","North West","Unemployment rate - aged 16+",5.7
"Apr 2007-Mar 2008","Yorkshire and The Humber","Economic activity rate - aged 16-64",75.6
"Apr 2007-Mar 2008","Yorkshire and The Humber","Employment rate - aged 16-64",71.7
"Apr 2007-Mar 2008","Yorkshire and The Humber","Unemployment rate - aged 16+",5.1
"Apr 2007-Mar 2008","East Midlands","Economic activity rate - aged 16-64",77.7
"Apr 2007-Mar 2008","East Midlands","Employment rate - aged 16-64",73.6
"Apr 2007-Mar 2008","East Midlands","Unemployment rate - aged 16+",5.2
"Apr 2007-Mar 2008","West Midlands","Economic activity rate - aged 16-64",75.5
"Apr 2007-Mar 2008","West Midlands","Employment rate - aged 16-64",70.7
"Apr 2007-Mar 2008","West Midlands","Unemployment rate - aged 16+",6.2
"Apr 2007-Mar 2008","East","Economic activity rate - aged 16-64",79.1
"Apr 2007-Mar 2008","East","Employment rate - aged 16-64",75.7
"Apr 2007-Mar 2008","East","Unemployment rate - aged 16+",4.2
"Apr 2007-Mar 2008","London","Economic activity rate - aged 16-64",73.9
"Apr 2007-Mar 2008","London","Employment rate - aged 16-64",68.8
"Apr 2007-Mar 2008","London","Unemployment rate - aged 16+",6.8
"Apr 2007-Mar 2008","South East","Economic activity rate - aged 16-64",80.1
"Apr 2007-Mar 2008","South East","Employment rate - aged 16-64",76.8
"Apr 2007-Mar 2008","South East","Unemployment rate - aged 16+",4.1
"Apr 2007-Mar 2008","South West","Economic activity rate - aged 16-64",79.4
"Apr 2007-Mar 2008","South West","Employment rate - aged 16-64",76.4
"Apr 2007-Mar 2008","South West","Unemployment rate - aged 16+",3.7
"Apr 2007-Mar 2008","Wales","Economic activity rate - aged 16-64",73.4
"Apr 2007-Mar 2008","Wales","Employment rate - aged 16-64",69.3
"Apr 2007-Mar 2008","Wales","Unemployment rate - aged 16+",5.6
"Apr 2007-Mar 2008","Scotland","Economic activity rate - aged 16-64",77.6
"Apr 2007-Mar 2008","Scotland","Employment rate - aged 16-64",74.0
"Apr 2007-Mar 2008","Scotland","Unemployment rate - aged 16+",4.6
"Jul 2007-Jun 2008","North East","Economic activity rate - aged 16-64",73.6
"Jul 2007-Jun 2008","North East","Employment rate - aged 16-64",68.8
"Jul 2007-Jun 2008","North East","Unemployment rate - aged 16+",6.5
"Jul 2007-Jun 2008","North West","Economic activity rate - aged 16-64",74.5
"Jul 2007-Jun 2008","North West","Employment rate - aged 16-64",70.1
"Jul 2007-Jun 2008","North West","Unemployment rate - aged 16+",5.8
"Jul 2007-Jun 2008","Yorkshire and The Humber","Economic activity rate - aged 16-64",75.5
"Jul 2007-Jun 2008","Yorkshire and The Humber","Employment rate - aged 16-64",71.3
"Jul 2007-Jun 2008","Yorkshire and The Humber","Unemployment rate - aged 16+",5.5
"Jul 2007-Jun 2008","East Midlands","Economic activity rate - aged 16-64",78.0
"Jul 2007-Jun 2008","East Midlands","Employment rate - aged 16-64",73.7
"Jul 2007-Jun 2008","East Midlands","Unemployment rate - aged 16+",5.3
"Jul 2007-Jun 2008","West Midlands","Economic activity rate - aged 16-64",75.4
"Jul 2007-Jun 2008","West Midlands","Employment rate - aged 16-64",70.7
"Jul 2007-Jun 2008","West Midlands","Unemployment rate - aged 16+",6.2
"Jul 2007-Jun 2008","East","Economic activity rate - aged 16-64",79.0
"Jul 2007-Jun 2008","East","Employment rate - aged 16-64",75.6
"Jul 2007-Jun 2008","East","Unemployment rate - aged 16+",4.2
"Jul 2007-Jun 2008","London","Economic activity rate - aged 16-64",74.2
"Jul 2007-Jun 2008","London","Employment rate - aged 16-64",69.3
"Jul 2007-Jun 2008","London","Unemployment rate - aged 16+",6.5
"Jul 2007-Jun 2008","South East","Economic activity rate - aged 16-64",80.2
"Jul 2007-Jun 2008","South East","Employment rate - aged 16-64",76.8
"Jul 2007-Jun 2008","South East","Unemployment rate - aged 16+",4.2
"Jul 2007-Jun 2008","South West","Economic activity rate - aged 16-64",79.4
"Jul 2007-Jun 2008","South West","Employment rate - aged 16-64",76.4
"Jul 2007-Jun 2008","South West","Unemployment rate - aged 16+",3.7
"Jul 2007-Jun 2008","Wales","Economic activity rate - aged 16-64",73.5
"Jul 2007-Jun 2008","Wales","Employment rate - aged 16-64",69.4
"Jul 2007-Jun 2008","Wales","Unemployment rate - aged 16+",5.5
"Jul 2007-Jun 2008","Scotland","Economic activity rate - aged 16-64",77.7
"Jul 2007-Jun 2008","Scotland","Employment rate - aged 16-64",74.3
"Jul 2007-Jun 2008","Scotland","Unemployment rate - aged 16+",4.4
"Oct 2007-Sep 2008","North East","Economic activity rate - aged 16-64",74.0
"Oct 2007-Sep 2008","North East","Employment rate - aged 16-64",68.9
"Oct 2007-Sep 2008","North East","Unemployment rate - aged 16+",6.8
"Oct 2007-Sep 2008","North West","Economic activity rate - aged 16-64",74.5
"Oct 2007-Sep 2008","North West","Employment rate - aged 16-64",70.1
"Oct 2007-Sep 2008","North West","Unemployment rate - aged 16+",5.8
"Oct 2007-Sep 2008","Yorkshire and The Humber","Economic activity rate - aged 16-64",75.9
"Oct 2007-Sep 2008","Yorkshire and The Humber","Employment rate - aged 16-64",71.5
